Time,Temperature (°C),Humidity (%),Wind Speed (m/s)
2025-02-07T00:00,3.6,84,10.0
2025-02-07T01:00,3.4,86,11.3
2025-02-07T02:00,2.9,88,10.5
2025-02-07T03:00,2.4,84,12.1
2025-02-07T04:00,2.0,85,12.9
2025-02-07T05:00,2.1,84,12.1
2025-02-07T06:00,2.6,83,13.7
2025-02-07T07:00,2.2,84,13.6
2025-02-07T08:00,1.9,83,11.4
2025-02-07T09:00,2.1,81,12.4
2025-02-07T10:00,2.3,78,13.0
2025-02-07T11:00,2.9,74,13.3
2025-02-07T12:00,3.3,73,13.7
2025-02-07T13:00,4.3,64,16.5
2025-02-07T14:00,4.4,65,16.3
2025-02-07T15:00,4.4,66,14.8
2025-02-07T16:00,3.7,73,16.5
2025-02-07T17:00,3.0,81,15.0
2025-02-07T18:00,2.5,81,16.5
2025-02-07T19:00,2.1,78,16.7
2025-02-07T20:00,1.8,76,17.4
2025-02-07T21:00,1.3,70,18.1
2025-02-07T22:00,0.4,72,18.4
2025-02-07T23:00,-0.1,73,17.7
2025-02-08T00:00,-0.4,74,16.6
2025-02-08T01:00,-0.6,76,16.2
2025-02-08T02:00,-0.8,78,15.6
2025-02-08T03:00,-0.9,79,15.3
2025-02-08T04:00,-1.0,80,13.8
2025-02-08T05:00,-1.0,81,13.5
2025-02-08T06:00,-1.0,82,14.1
2025-02-08T07:00,-1.1,82,13.5
2025-02-08T08:00,-1.1,81,13.5
2025-02-08T09:00,-0.5,78,13.9
2025-02-08T10:00,0.6,73,12.1
2025-02-08T11:00,1.9,68,10.3
2025-02-08T12:00,3.2,64,10.7
2025-02-08T13:00,4.0,63,12.5
2025-02-08T14:00,4.6,61,12.9
2025-02-08T15:00,4.4,64,12.8
2025-02-08T16:00,3.7,68,11.0
2025-02-08T17:00,2.9,73,9.3
2025-02-08T18:00,2.2,77,9.1
2025-02-08T19:00,1.5,80,9.2
2025-02-08T20:00,1.1,81,9.1
2025-02-08T21:00,0.8,81,8.7
2025-02-08T22:00,0.7,81,8.7
2025-02-08T23:00,0.4,81,8.3
2025-02-09T00:00,0.2,81,7.9
2025-02-09T01:00,-0.0,82,7.9
2025-02-09T02:00,-0.2,82,7.6
2025-02-09T03:00,-0.4,82,7.6
2025-02-09T04:00,-0.4,82,6.8
2025-02-09T05:00,-0.4,82,6.8
2025-02-09T06:00,-0.5,82,6.1
2025-02-09T07:00,-1.7,87,5.5
2025-02-09T08:00,-1.5,86,5.2
2025-02-09T09:00,-1.0,83,5.6
2025-02-09T10:00,0.0,78,5.6
2025-02-09T11:00,1.0,74,5.9
2025-02-09T12:00,1.9,72,5.9
2025-02-09T13:00,2.5,70,6.7
2025-02-09T14:00,3.0,69,7.4
2025-02-09T15:00,2.9,71,7.1
2025-02-09T16:00,2.2,76,6.1
2025-02-09T17:00,1.3,82,6.0
2025-02-09T18:00,0.7,84,6.2
2025-02-09T19:00,0.5,83,6.1
2025-02-09T20:00,0.3,83,5.4
2025-02-09T21:00,0.1,84,5.4
2025-02-09T22:00,-0.1,84,6.0
2025-02-09T23:00,-0.2,85,5.6
2025-02-10T00:00,-0.2,85,5.9
2025-02-10T01:00,-0.2,85,6.2
2025-02-10T02:00,-0.2,85,6.6
2025-02-10T03:00,-0.3,85,7.1
2025-02-10T04:00,-0.5,84,7.4
2025-02-10T05:00,-0.5,84,7.4
2025-02-10T06:00,-0.6,83,8.2
2025-02-10T07:00,-0.6,82,9.0
2025-02-10T08:00,-0.5,81,9.6
2025-02-10T09:00,-0.3,79,10.1
2025-02-10T10:00,0.2,76,10.4
2025-02-10T11:00,0.9,72,10.4
2025-02-10T12:00,1.4,69,10.7
2025-02-10T13:00,1.6,67,11.2
2025-02-10T14:00,1.8,67,11.7
2025-02-10T15:00,1.7,67,12.2
2025-02-10T16:00,1.3,69,12.0
2025-02-10T17:00,0.6,71,11.5
2025-02-10T18:00,0.1,73,11.1
2025-02-10T19:00,-0.3,74,11.1
2025-02-10T20:00,-0.7,74,11.4
2025-02-10T21:00,-1.0,74,11.9
2025-02-10T22:00,-1.3,73,12.1
2025-02-10T23:00,-1.6,73,12.4
2025-02-11T00:00,-1.9,72,12.4
2025-02-11T01:00,-2.3,72,12.1
2025-02-11T02:00,-2.7,73,11.9
2025-02-11T03:00,-3.0,73,11.6
2025-02-11T04:00,-3.3,73,11.6
2025-02-11T05:00,-3.4,74,12.1
2025-02-11T06:00,-3.5,74,12.4
2025-02-11T07:00,-3.4,74,12.8
2025-02-11T08:00,-3.2,74,12.9
2025-02-11T09:00,-2.8,73,13.2
2025-02-11T10:00,-2.0,70,13.7
2025-02-11T11:00,-1.1,66,13.8
2025-02-11T12:00,-0.5,63,14.1
2025-02-11T13:00,-0.3,62,14.3
2025-02-11T14:00,-0.3,62,14.5
2025-02-11T15:00,-0.6,63,15.0
2025-02-11T16:00,-1.2,67,16.0
2025-02-11T17:00,-1.9,71,17.0
2025-02-11T18:00,-2.6,74,17.6
2025-02-11T19:00,-3.1,72,17.7
2025-02-11T20:00,-3.4,68,17.5
2025-02-11T21:00,-3.7,65,16.8
2025-02-11T22:00,-3.9,66,15.9
2025-02-11T23:00,-4.0,67,15.3
2025-02-12T00:00,-4.1,69,15.0
2025-02-12T01:00,-4.0,69,15.5
2025-02-12T02:00,-4.0,69,15.5
2025-02-12T03:00,-4.0,70,15.7
2025-02-12T04:00,-4.2,72,16.0
2025-02-12T05:00,-4.5,75,16.2
2025-02-12T06:00,-4.7,76,16.4
2025-02-12T07:00,-4.6,76,16.7
2025-02-12T08:00,-4.5,75,17.0
